id	logFC	AveExpr	t	P.Value	adj.P.Val	B
CENPV	1.349604045	6.344668056	4.274971834	0.000104564	0.029956152	1.229092625
IFNG	-2.041751874	4.309838141	-4.19496543	0.000134345	0.034956981	1.006265707
TYMP	-1.137391208	11.77682757	-4.194403103	0.000134581	0.034956981	1.004704952
CXCL11	-1.6538787	6.456078516	-4.156910369	0.00015127	0.037549952	0.900817647
SCO2	-1.227200159	7.997151017	-4.148966777	0.000155056	0.037549952	0.878851765
GPR68	-1.138440666	8.259117882	-4.146750526	0.000156129	0.037549952	0.872726139
TMEM45A	-1.150860549	7.935631165	-4.133941176	0.000162472	0.037679975	0.837345898
SLC16A3	-1.013237774	10.22366577	-4.118215423	0.000170603	0.03893108	0.793967391
ATP6V1B1	1.044416849	5.92240442	4.09160883	0.000185271	0.040807625	0.720719819
WDR86	-1.245985704	7.141357325	-4.086139361	0.000188434	0.040807625	0.705685303
C12orf71	-1.04469783	1.972423013	-4.060331815	0.000204084	0.042181726	0.634851945
C12orf56	2.620159534	2.422625317	4.018564684	0.000232126	0.044868521	0.520593955
UBD	-1.76436326	9.264075478	-4.014666993	0.000234926	0.044868521	0.509955766
BFSP2	-1.32772672	2.094790108	-3.99473509	0.000249765	0.046785251	0.455620385
PDCD1	-1.734722807	6.730243002	-3.973728852	0.000266387	0.048499874	0.398476828
C15orf48	-1.586032111	7.706901387	-3.948400975	0.000287859	0.0500695	0.32974402
STEAP1	-1.325355717	7.702930347	-3.933361854	0.000301393	0.051959599	0.289019602
GPM6A	1.990753743	5.446739699	3.905232448	0.00032838	0.053810277	0.21302587
CXCL10	-1.543374745	8.896853513	-3.902749096	0.000330872	0.053810277	0.20632815
EIF5AL1	1.104041784	5.679529328	3.895855292	0.000337886	0.053810277	0.187744878
CP	-2.543892631	10.52994306	-3.85094735	0.000387226	0.058933995	0.067040005
TSPAN7	1.501623909	8.852242579	3.824842	0.000419038	0.061621429	-0.002842139
KIR2DL4	-1.93409475	2.725120655	-3.807416208	0.000441663	0.062803194	-0.04937107
PIGY	2.137409969	5.852764926	3.796126085	0.000456947	0.06358416	-0.079465729
GOLGA6L7	1.807125232	2.169685981	3.775133106	0.000486734	0.064213948	-0.135315701
PIK3R6	-1.027073265	7.483401755	-3.771563296	0.000491982	0.064213948	-0.144798739
CHRM1	1.748231369	1.975035117	3.767177021	0.000498506	0.064213948	-0.156445023
C1orf167	-1.153643533	2.239240374	-3.751181519	0.000523009	0.064213948	-0.198862622
LPL	1.53118967	9.015826581	3.750955665	0.000523363	0.064213948	-0.199460953
IL2RA	-1.170563016	7.991950567	-3.749414835	0.000525786	0.064213948	-0.203542459
FAP	-1.34859154	9.12307201	-3.748393348	0.000527398	0.064213948	-0.206247848
DDC	2.548916089	3.488780759	3.724582247	0.000566349	0.067687378	-0.26921344
CD3D	-1.272470686	7.862297959	-3.709169876	0.000593024	0.068726509	-0.309868938
IMPG2	-1.432747799	4.921972772	-3.673517297	0.000659446	0.071008264	-0.403607249
IL21	-1.796889554	3.242492574	-3.66934521	0.000667671	0.0714665	-0.414548162
PGLYRP2	-1.065719803	1.773955061	-3.629265804	0.000751882	0.07720287	-0.519344692
TIGD3	1.00229173	3.695116386	3.623856957	0.000764	0.07720287	-0.533444177
SSTR1	1.458006334	5.329718094	3.619235358	0.000774503	0.077374862	-0.545483297
MYH4	-1.089626996	0.73785796	-3.616627128	0.000780492	0.077554067	-0.552274306
PODNL1	-1.259656114	7.841598005	-3.61499607	0.000784259	0.077554067	-0.556519838
MCOLN3	1.055313312	6.497311872	3.607215299	0.000802473	0.078954411	-0.576759593
ZPLD1	-1.455018757	2.061404726	-3.585860496	0.000854573	0.079591117	-0.63219727
KCNJ10	-1.965519372	5.140393945	-3.583459167	0.00086063	0.079591117	-0.638420896
RERGL	1.710974492	2.715881516	3.583278694	0.000861087	0.079591117	-0.638888552
GBP1	-1.099739799	10.68486293	-3.582050363	0.000864203	0.079591117	-0.642071179
CD7	-1.215773993	8.190199831	-3.578341675	0.000873677	0.079591117	-0.651677137
NNMT	-1.173964228	10.17363457	-3.55739399	0.00092909	0.081488974	-0.705839968
ADAMTS14	-1.318744645	7.377598712	-3.541554055	0.000973212	0.081720425	-0.746688935
FSTL5	1.689391434	1.052411978	3.534955896	0.000992177	0.081900875	-0.763677213
RASSF4	-1.002275944	11.05907195	-3.527932827	0.001012753	0.083246593	-0.781741672
XIRP1	-2.114577002	3.998075154	-3.518934177	0.001039715	0.084649961	-0.804860653
FYB1	-1.036430272	10.34924478	-3.516361138	0.001047549	0.084677635	-0.81146561
ACOD1	-1.608023871	1.688400039	-3.498678742	0.001102941	0.08734303	-0.856788437
IL32	-1.056082193	11.24842237	-3.486527177	0.001142619	0.089037469	-0.887865961
LOC105374299	-2.10910514	2.37127589	-3.475544293	0.001179654	0.089838287	-0.915905942
GZMA	-1.33614402	7.864066494	-3.470550453	0.00119687	0.090024031	-0.92864017
ENHO	1.62979864	3.259533826	3.465738053	0.001213688	0.090589477	-0.940902608
CTSW	-1.491924356	7.306235232	-3.461703571	0.001227961	0.090755822	-0.951175926
URGCP-MRPS24	-1.623117498	2.166613749	-3.45925145	0.001236714	0.090860715	-0.957416867
SLC17A9	-1.068882795	8.130723952	-3.456235729	0.001247561	0.090933351	-0.965089034
PTPN22	-1.008364427	8.502285633	-3.443022408	0.001296168	0.091820535	-0.998662633
GNAZ	1.223300988	5.681491959	3.432844972	0.001334834	0.09280416	-1.024475713
SIRPG	-1.32112567	6.756445708	-3.431859592	0.001338636	0.09280416	-1.026972771
CYP27B1	-1.363532674	6.58237448	-3.409719562	0.001426828	0.095848427	-1.082976562
PDZK1IP1	-1.713685546	8.318511195	-3.403087183	0.001454309	0.096885831	-1.099715336
CFAP298-TCP10L	1.343135888	3.389613645	3.396771839	0.001480945	0.097467175	-1.115637591
NPY5R	1.18074069	1.250552678	3.391287631	0.001504452	0.098226705	-1.129451374
B4GALT6	1.015355115	6.159308492	3.382717465	0.0015419	0.099076717	-1.151013856
CPZ	-1.098785721	8.171591616	-3.377101601	0.001566919	0.09943044	-1.165127199
CHI3L1	-1.920834924	10.71074152	-3.353629029	0.001675739	0.103965201	-1.223977429
TRHDE	1.080244253	4.702881688	3.3456385	0.001714398	0.104330895	-1.24395963
LOC112267886	-1.206400588	2.492769087	-3.34362302	0.001724283	0.104330895	-1.24899565
THY1	-1.16791049	11.04467575	-3.331228193	0.001786272	0.105607014	-1.279929237
NCKAP5	1.196100162	6.784250755	3.318153918	0.001853954	0.106539472	-1.312489187
SPHK1	-1.087689326	7.951835565	-3.310701227	0.001893619	0.107647963	-1.331017211
ZBP1	-1.035409824	7.554838346	-3.307739504	0.001909604	0.107647963	-1.338373823
GPD1	1.728146258	5.647140983	3.304083692	0.001929513	0.108013929	-1.347449382
CD38	-1.050063272	8.929711876	-3.295943282	0.001974555	0.109002008	-1.367637673
CLDN14	-1.221176516	2.900120589	-3.279723135	0.002067298	0.111753539	-1.40777991
IGFL2	-1.472291569	4.46281313	-3.278630609	0.002073691	0.111753539	-1.410479702
SYT1	1.483825189	5.352480711	3.276988576	0.002083336	0.111789113	-1.414536445
PCDHGB1	1.463370798	4.372265791	3.272747107	0.002108444	0.111789113	-1.425009915
GPR84	-1.28802623	5.631405722	-3.270277583	0.002123196	0.111789113	-1.431104361
SULF1	-1.323536264	11.53209803	-3.267050161	0.002142622	0.111915463	-1.439065246
TNFRSF18	-1.085848651	6.701408062	-3.236715321	0.002333635	0.116263718	-1.513670313
SLAMF7	-1.292091605	9.981348413	-3.234012743	0.002351414	0.116263718	-1.520297579
CD14	-1.042729728	10.70307679	-3.226233185	0.002403312	0.116492442	-1.539356771
SLC6A4	1.787410272	6.380135728	3.224267341	0.002416597	0.116492442	-1.544168703
CD72	-1.060877576	7.190061154	-3.222160628	0.002430912	0.116492442	-1.549323564
HEY1	1.152120929	7.634385529	3.217963211	0.002459671	0.116492442	-1.559588286
STIMATE-MUSTN1	-2.124171116	2.857410094	-3.210697967	0.002510213	0.116492442	-1.577336964
IL27	-1.38684183	2.293934524	-3.209395617	0.002519376	0.116492442	-1.580516083
FMO1	-1.329191371	6.663388258	-3.194580988	0.002625865	0.118413158	-1.616626526
SFRP5	2.050493384	3.633682678	3.185422252	0.002693815	0.12036285	-1.638901877
DERL3	-1.47052379	8.41039461	-3.171387864	0.002801171	0.121182387	-1.67296251
KLHL13	1.340770705	5.731392114	3.166543749	0.002839156	0.121827309	-1.684698288
PLA2G4A	-1.169157939	7.608955784	-3.164390457	0.002856197	0.122289162	-1.689911635
FAM20A	-1.037657991	10.01561676	-3.163164702	0.00286594	0.122292678	-1.692878382
CD2	-1.080121314	9.391101551	-3.149720274	0.002974891	0.12383302	-1.725373709
MUC5B	-3.432164374	7.669653098	-3.140262236	0.003053868	0.124527375	-1.748184527
ACAP1	-1.030611952	8.8995092	-3.131487644	0.003128904	0.124906094	-1.769310372
ICOS	-1.043079038	6.902088178	-3.124891148	0.003186455	0.125300272	-1.785168879
CD27	-1.096273075	8.519984505	-3.124851615	0.003186803	0.125300272	-1.78526386
GRM7	1.139759113	1.495156652	3.123689777	0.003197044	0.125300272	-1.788054912
CLDN18	2.263744596	8.810653647	3.118270575	0.00324522	0.125300272	-1.801065076
LOC107984124	-1.096829957	0.995656697	-3.112956508	0.003293126	0.125790948	-1.813809634
ITLN2	1.995986779	3.040765967	3.10945443	0.00332506	0.126514645	-1.822201392
KLHDC7B	-1.361460022	7.14178432	-3.10804127	0.003338029	0.126760509	-1.825586022
RNF182	1.224440373	4.638416312	3.10539884	0.003362407	0.12743783	-1.83191236
DHRS2	1.449455726	4.180313429	3.100178537	0.003411061	0.127516178	-1.844400912
CFB	-1.249092328	10.28450552	-3.095966268	0.003450802	0.127523172	-1.854468663
TBL1Y	1.350596487	2.734885889	3.090353424	0.003504436	0.127744182	-1.867871023
IL4I1	-1.179613967	8.162073213	-3.088115888	0.003526035	0.127744182	-1.873209697
LOC283710	-1.222037129	5.983484957	-3.085258933	0.003553795	0.127912023	-1.880022864
NAT8L	1.272681174	4.158986597	3.084494287	0.00356126	0.127912023	-1.881845712
GZMH	-1.248695925	7.0560781	-3.084296375	0.003563195	0.127912023	-1.882317473
ABCC8	1.53628612	2.980769149	3.079705798	0.003608344	0.128743856	-1.893254797
SCN4B	1.447207037	7.202982204	3.073885091	0.003666366	0.129710556	-1.907108684
PRSS1	-1.46138392	5.047598856	-3.068648969	0.00371931	0.129727896	-1.91955751
ISLR	-1.114204051	10.22205855	-3.052205101	0.003890292	0.131604011	-1.958567993
POSTN	-1.23871513	12.12481145	-3.051613765	0.003896577	0.131604011	-1.959968444
GIMAP1-GIMAP5	-1.093868394	7.673665179	-3.044332578	0.003974741	0.132816352	-1.977198645
P2RY6	-1.096113079	7.755350699	-3.040428941	0.004017252	0.133095376	-1.986425752
MASP1	1.145092384	5.329653952	3.025397437	0.004184966	0.135888404	-2.021887544
GPR31	-1.134433272	2.066279181	-3.022145567	0.004222104	0.136270305	-2.029544887
CTHRC1	-1.423086207	9.409690199	-3.007647928	0.004391468	0.138677407	-2.063620778
DRD1	1.303572957	3.633848551	3.003615476	0.004439697	0.139255222	-2.073080642
ANGPTL7	1.152065963	1.715549726	3.002249014	0.004456152	0.139255222	-2.076284468
UNC80	1.350644969	2.492069493	3.001887658	0.004460513	0.139255222	-2.077131556
PLA2G12B	1.568730895	2.456937078	2.997838719	0.004509654	0.139405849	-2.08661868
GCKR	-1.167585977	2.418546492	-2.996195436	0.004529742	0.139405849	-2.090466788
KCNN4	-1.185554375	8.276202619	-2.991053425	0.004593144	0.139810988	-2.102499381
FGF11	-1.114373851	7.179874643	-2.986875742	0.004645267	0.140754293	-2.112265826
GREM1	-1.525339522	9.419394119	-2.978737615	0.004748397	0.142094511	-2.13126618
CXCR6	-1.157496029	7.384042758	-2.972114724	0.004833905	0.143550764	-2.146704713
DPP6	1.088331114	3.363243527	2.970789906	0.004851182	0.143625942	-2.14979037
SULT1A4	-2.851645433	5.70533195	-2.962074775	0.004966284	0.144628431	-2.170067223
RGS6	1.499585415	4.495853786	2.958709928	0.005011404	0.145278509	-2.177885854
NDRG4	1.113684887	7.179206275	2.953103101	0.00508744	0.147263633	-2.19090145
CXCL13	-1.585650691	8.732696129	-2.948913573	0.005144959	0.147271029	-2.200616699
LILRB4	-1.234729572	9.942212852	-2.948109305	0.005156071	0.147271029	-2.202480738
HTRA3	-1.058082373	10.06507057	-2.947967686	0.00515803	0.147271029	-2.202808933
NTS	2.149513512	2.888206533	2.942518622	0.005233931	0.147271029	-2.215429222
OVCH1	1.493825008	3.281149093	2.941587225	0.005247009	0.147271029	-2.217584891
CKM	-1.151818326	2.240610483	-2.938100908	0.005296232	0.147271029	-2.225649912
JPH1	1.295037976	6.959538463	2.932595014	0.005374849	0.14825357	-2.238374431
CNNM1	1.201202797	6.257183245	2.931032028	0.005397364	0.148359272	-2.24198382
ADRB1	1.491086732	5.271631839	2.930164055	0.005409906	0.148437153	-2.243987689
CARD17	-1.031847747	4.967330069	-2.927922992	0.005442414	0.14849252	-2.249159817
FASLG	-1.13219575	5.841115654	-2.926248221	0.005466826	0.1485345	-2.253023349
ADAMDEC1	-1.631110684	7.847182301	-2.923001718	0.00551444	0.149197991	-2.260508669
PTPRCAP	-1.146933356	8.777235566	-2.921197369	0.005541071	0.149197991	-2.26466657
GATD3A	-1.093781146	7.146071741	-2.903564424	0.005807712	0.152215902	-2.305212423
WIF1	1.976083033	6.296183983	2.90199601	0.005832	0.152215902	-2.308811216
ADGRL3	1.303836439	5.453180039	2.901459987	0.005840323	0.152215902	-2.310040855
HLA-DQB2	-1.652855222	8.381770929	-2.900606839	0.005853592	0.152215902	-2.311997678
COL5A2	-1.069155193	11.54535331	-2.895449946	0.005934398	0.152386012	-2.323817848
TNIP3	-1.380537338	6.347116027	-2.89211821	0.005987157	0.152821767	-2.331447307
CDKN2A	1.350123855	7.638674231	2.886612992	0.006075293	0.153505556	-2.344041399
MMP2	-1.026339797	13.04019742	-2.873125146	0.006296365	0.156955173	-2.374831041
CYP24A1	-2.057037615	5.510847787	-2.871432312	0.006324634	0.157155866	-2.37868875
CHST13	-1.077667974	4.319164551	-2.865066847	0.006431996	0.158409255	-2.393181358
ADD2	1.189262437	6.690390703	2.861094001	0.006499861	0.159371072	-2.402215889
PRAME	2.356993321	3.751072676	2.857286865	0.00656552	0.159371072	-2.410865873
SLC24A5	1.358045886	1.682996796	2.849771646	0.006696946	0.160822587	-2.427918591
PAX6	1.027669037	5.162718334	2.840425331	0.006863809	0.161582535	-2.449085
TMEM100	1.666393597	6.367557431	2.839308882	0.006883998	0.161582535	-2.451610336
BAALC	1.319996874	6.129481607	2.833478835	0.006990323	0.162200431	-2.464786874
RBP2	1.068082995	1.564266569	2.830796014	0.007039762	0.162297749	-2.470844328
CCDC177	1.407788109	1.244708464	2.82805934	0.007090528	0.16242718	-2.477019463
S100A9	-1.557319564	10.65430204	-2.827350076	0.00710374	0.16242718	-2.478619227
CCL4L1	-1.081697733	6.912142787	-2.814531508	0.007346506	0.164691917	-2.507485994
STXBP6	1.038636809	6.604118642	2.804890448	0.007534145	0.166638863	-2.529139697
NGF	1.602374848	3.901740528	2.800274373	0.007625552	0.167667465	-2.539489809
IDO1	-1.021638536	9.062366088	-2.788197013	0.007869595	0.169775827	-2.566515611
KCNH5	1.320067944	0.914316388	2.785755399	0.007919803	0.170670004	-2.571969762
NKG7	-1.131088676	8.254858174	-2.779949246	0.008040394	0.171372989	-2.584926848
SOSTDC1	2.44184763	4.21642157	2.769705362	0.008257312	0.174280271	-2.607742898
KCNK3	1.044016508	7.757857837	2.764759081	0.00836398	0.175843931	-2.61873936
LRRC15	-1.964463299	8.032030168	-2.763856124	0.00838359	0.175843931	-2.620745363
LRRC36	1.211363054	6.719865472	2.760500822	0.008456831	0.176617866	-2.628195597
KCNA4	1.197022155	1.778202236	2.754034322	0.008599659	0.177272607	-2.642536789
GLIS1	-1.125546775	3.235409861	-2.753822262	0.00860438	0.177272607	-2.643006704
APOE	-1.157915887	13.30957407	-2.752698824	0.008629433	0.177272607	-2.645495777
CCL8	-1.333054411	6.573239153	-2.746555763	0.008767622	0.177732704	-2.659094081
LTB	-1.018383251	8.431748046	-2.746155416	0.008776698	0.177732704	-2.659979577
MXRA5	-1.194035305	11.05648031	-2.74358498	0.008835182	0.178176161	-2.665662825
DACH1	1.059450942	6.276106546	2.742885065	0.008851168	0.178245754	-2.667209714
PDGFRL	-1.056355863	6.860445124	-2.73980678	0.008921798	0.178444117	-2.674009883
PLEKHN1	-1.081377543	7.253581709	-2.735810666	0.009014264	0.17909188	-2.682829857
TMC2	1.018597113	2.750390739	2.734839371	0.009036873	0.17909188	-2.684972318
EYA1	1.503570897	4.271332102	2.73213326	0.009100138	0.179644574	-2.690938657
GLDN	1.127721061	6.533086434	2.732068899	0.009101648	0.179644574	-2.691080508
UBASH3A	-1.04452866	6.479168474	-2.726787371	0.009226322	0.18027881	-2.702713254
CPXM1	-1.31657987	8.017272239	-2.725877584	0.009247956	0.18033978	-2.70471554
SYP	1.078899902	6.355720342	2.724834187	0.009272826	0.180475737	-2.707011315
POPDC3	1.771644551	3.097553931	2.724357966	0.009284198	0.180475737	-2.708058942
COLCA1	1.047862237	8.357388689	2.724032139	0.009291985	0.180475737	-2.708775647
LHFPL3	1.564778184	3.895059931	2.723056696	0.009315336	0.180569206	-2.710920932
CHI3L2	-1.037337281	6.941684698	-2.719749263	0.009394913	0.181569749	-2.718191034
P4HA3	-1.067728098	5.945273987	-2.718367268	0.00942835	0.18188372	-2.721227022
KCNB2	1.246735715	1.766568993	2.718135965	0.009433957	0.18188372	-2.721735047
MZB1	-1.475735064	8.676247747	-2.715282431	0.009503383	0.182399414	-2.728000027
TCN1	-2.390065096	2.928874746	-2.713353457	0.009550581	0.182944815	-2.732232568
SAA4	-1.493931643	1.527954021	-2.704753496	0.00976365	0.185929293	-2.751077432
BPIFA1	-2.934528708	4.471381717	-2.70392501	0.009784406	0.185941305	-2.752890703
SPX	1.195352845	2.504179332	2.701879416	0.009835829	0.185941305	-2.757366168
TMEM155	-1.13530332	3.618022237	-2.692755142	0.010068246	0.188335639	-2.777300378
TTLL2	1.029169001	2.581413242	2.686308583	0.010235496	0.190264986	-2.791356437
GNLY	-1.109369127	6.925274435	-2.680102161	0.010398931	0.191033313	-2.804866911
NHLH2	1.98574479	2.721341696	2.674832624	0.010539578	0.191920419	-2.816320947
TRIM31	-1.073977212	2.920392488	-2.674402288	0.010551141	0.191920419	-2.81725565
KLK11	1.884910602	6.265158508	2.670815825	0.010647962	0.192157898	-2.825041499
CPLX2	2.314110104	2.08112817	2.6673377	0.010742639	0.192157898	-2.832585233
PCDH7	-1.010014726	8.143480395	-2.665808246	0.010784517	0.192157898	-2.835900317
RIMS4	1.736832224	4.107480778	2.664737778	0.010813916	0.192157898	-2.838219768
SLC34A1	-1.061816339	1.552436916	-2.662988529	0.010862117	0.192157898	-2.842008578
CD8B	-1.021485586	6.892995438	-2.660833214	0.010921778	0.192157898	-2.846674536
STRA6	-1.659558869	6.421374789	-2.659690033	0.010953544	0.192157898	-2.849148298
IYD	1.087170388	6.560811002	2.658779707	0.010978901	0.192157898	-2.851117648
PRG4	1.46850063	6.865404184	2.657029731	0.011027798	0.192157898	-2.854902135
DNAJC6	1.054236107	5.990059894	2.652831577	0.011145917	0.192683373	-2.863973956
LOC107984832	-1.137714111	4.878441229	-2.65222486	0.011163084	0.192683373	-2.86528419
COL1A1	-1.17819179	15.14083374	-2.650918221	0.011200137	0.192958368	-2.868105224
PWP2	-1.394709575	5.572156862	-2.649186922	0.011249406	0.193000205	-2.871841605
HLA-DQA1	-1.108452492	12.12523437	-2.649009529	0.011254465	0.193000205	-2.872224348
COL2A1	1.98915803	2.732765793	2.643996753	0.011398303	0.194099942	-2.883032491
GPC3	1.269001982	8.855105168	2.63395321	0.011691589	0.195121179	-2.904644468
DEFB4A	-1.548419565	1.101209827	-2.633036874	0.011718689	0.195121179	-2.906613396
FRAS1	1.092433002	7.939970365	2.632280688	0.011741096	0.195327326	-2.908237849
VANGL2	1.000808311	8.569536387	2.628737918	0.011846601	0.195847898	-2.915844137
LMO1	1.515338362	1.623010199	2.627437342	0.01188555	0.195929719	-2.918634654
GSDMC	-1.052824849	6.904964226	-2.626218254	0.011922166	0.196078925	-2.921249449
PRRT4	1.328664756	3.128452604	2.622380345	0.012038116	0.19674038	-2.92947573
IFNE	-1.101499255	1.158187539	-2.617611935	0.012183618	0.197170108	-2.939684679
ZNF488	1.65489548	2.610738027	2.61567675	0.012243127	0.197531001	-2.943824091
AIM2	-1.123244259	6.468821802	-2.614510789	0.01227911	0.197562175	-2.946317072
COLEC10	1.067792655	2.289936469	2.612563408	0.012339425	0.197562175	-2.950479085
MUC6	-1.296324568	2.927053364	-2.610055855	0.01241749	0.198129257	-2.955835095
PIP	-1.831497693	2.81603908	-2.60971264	0.01242821	0.198129257	-2.956567904
IGSF1	1.284175923	2.557094321	2.603257195	0.012631427	0.198956678	-2.970338426
MROH9	-1.128338639	1.957811272	-2.600370857	0.012723271	0.199566855	-2.976487658
FXYD2	-1.284137614	3.509492619	-2.595890067	0.012867062	0.200500621	-2.986024243
GZMK	-1.198903819	7.939871483	-2.592842325	0.012965715	0.201102775	-2.992504174
SAA1	-1.91430937	5.759057219	-2.591958592	0.012994449	0.201228036	-2.994382104
HPR	-1.179071905	1.598706093	-2.583127833	0.013284803	0.203368634	-3.013122499
DLK1	2.412107727	1.618126946	2.581562567	0.013336884	0.20377713	-3.01643952
MMP24	1.088713923	7.411053358	2.57997219	0.013389992	0.204108318	-3.019808291
GUCA1A	-1.340357728	2.287490115	-2.57863032	0.013434951	0.20432209	-3.02264952
CELF3	1.415697709	4.989522361	2.578614549	0.013435481	0.20432209	-3.022682906
HAMP	-1.335421722	4.765482388	-2.574044554	0.013589642	0.204906985	-3.032351315
SYN2	1.524113401	3.105674125	2.567489908	0.013813578	0.206613279	-3.046197155
GZMB	-1.127912027	7.465446216	-2.563332429	0.013957359	0.206927933	-3.054966225
MARK1	1.127919437	7.377762341	2.557964986	0.014145006	0.20840523	-3.066272353
PPM1E	1.106992952	4.938648036	2.557123883	0.014174619	0.20840523	-3.068042538
TNFAIP6	-1.070760913	6.456946885	-2.555055929	0.014247668	0.20840523	-3.072392983
PCDHB8	1.226549103	4.33336254	2.554497722	0.014267445	0.20840523	-3.073566874
EPB41L4B	1.118885442	7.838217941	2.553933362	0.014287465	0.20840523	-3.074753518
TUBB3	-1.445371921	8.017639697	-2.55338401	0.014306978	0.20840523	-3.075908426
TMIGD3	-1.050018568	5.697837374	-2.551109219	0.014388036	0.208476173	-3.080688843
ADAM12	-1.219541544	8.726965594	-2.547739934	0.014508866	0.20886946	-3.087763695
CD24	1.203944036	11.77088445	2.546889313	0.014539517	0.209036405	-3.089548775
CXCL1	-1.469588426	8.093249713	-2.540263574	0.014780298	0.210603625	-3.103438628
JPH3	-1.145600017	3.701057464	-2.527536726	0.015253023	0.212639689	-3.130045435
BEAN1	-1.111186575	6.375943218	-2.526964057	0.015274614	0.212639689	-3.131240392
FNDC1	-1.344905902	8.858749343	-2.505167249	0.016117422	0.218814466	-3.176576947
GABRA3	2.014661721	2.041471747	2.501348142	0.016269378	0.21930825	-3.184491216
KCNH2	1.06409564	6.34989173	2.500868134	0.016288569	0.21930825	-3.185485307
MCEMP1	1.626780617	6.450754074	2.494162926	0.016558802	0.220728849	-3.199357214
KCTD19	1.033852025	3.602798346	2.484541343	0.016953694	0.222753769	-3.219215174
DRD2	1.38376828	2.775910107	2.484456051	0.016957232	0.222753769	-3.219390956
TRIM71	1.161867733	3.523538394	2.478535231	0.017204515	0.224150454	-3.231582764
PRSS56	-1.398180296	1.162670877	-2.478503455	0.017205851	0.224150454	-3.231648136
COL11A1	-2.414545346	8.069904515	-2.473624341	0.017412098	0.225003122	-3.241678838
CPB2	1.805943844	4.375389103	2.473158081	0.017431924	0.225003122	-3.24263664
HOXC13	1.939053296	3.035097028	2.471327613	0.017509958	0.225007579	-3.246395546
PCSK2	1.633668622	3.203469413	2.463314701	0.017855297	0.227459871	-3.262826219
LOC107987373	2.105821283	4.121710636	2.460101713	0.017995496	0.227939045	-3.269403528
TACR1	1.046842197	4.78360469	2.454813289	0.018228431	0.229309727	-3.280215723
DIO2	-1.223261148	7.443691811	-2.453414157	0.018290513	0.229309727	-3.283073387
KCNMB2	1.023897035	3.058179467	2.452427744	0.018334397	0.229309727	-3.285087371
NR0B1	1.827955399	0.96863989	2.443702079	0.018726762	0.231335485	-3.302876789
MS4A15	2.075910732	7.497385903	2.43528878	0.019112265	0.232667368	-3.319985047
IGLL5	-1.363245493	15.00880826	-2.434436294	0.019151725	0.232702998	-3.321716125
RUFY4	-1.00871287	5.501077027	-2.428172285	0.019443938	0.234398113	-3.334422213
PTPRQ	1.368639348	3.39766738	2.427453512	0.019477725	0.234660208	-3.335878641
ARL14	-1.118614527	1.527762207	-2.424558868	0.01961433	0.234709314	-3.341740736
